PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,Deck,Family_Size,FamilyGroup,NumericFamilySize,TicketPrefix,PassengerStatus,DetailedPassengerStatus,GroupSize,AgeGroup,TitleEncoded,IsAlone,FamilyName,EmbarkedCategory,Pclass_Fare,Title_AgeGroup,Age*Class,Fare_Per_Person
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,Miss,Unknown,2,Small,1,None,Low,Low-Class Passenger,2,Teen,Miss,0,Zabour,Cherbourg,43.3626,Miss_Teen,43.5,7.2271
113,0,3,"Barton, Mr. David John",male,22.0,0,0,324669,8.05,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Barton,Southampton,24.150000000000002,Mr_Adult,66.0,8.05
114,0,3,"Jussila, Miss. Katriina",female,20.0,1,0,4136,9.825,,S,Miss,Unknown,2,Small,1,None,Low,Migrant,1,Adult,Miss,0,Jussila,Southampton,29.474999999999998,Miss_Adult,60.0,9.825
115,0,3,"Attalah, Miss. Malake",female,17.0,0,0,2627,14.4583,,C,Miss,Unknown,1,Solo,0,None,Low,Low-Class Passenger,2,Teen,Miss,1,Attalah,Cherbourg,43.3749,Miss_Teen,51.0,7.22915
116,0,3,"Pekoniemi, Mr. Edvard",male,21.0,0,0,STON/O 2. 3101294,7.925,,S,Mr,Unknown,1,Solo,0,STON/O,Low,Migrant,1,Adult,Mr,1,Pekoniemi,Southampton,23.775,Mr_Adult,63.0,7.925
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,,Q,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Senior,Mr,1,Connors,Queenstown,23.25,Mr_Senior,211.5,7.75
118,0,2,"Turpin, Mr. William John Robert",male,29.0,1,0,11668,21.0,,S,Mr,Unknown,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mr,0,Turpin,Southampton,42.0,Mr_Adult,58.0,10.5
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,0,1,PC 17558,247.5208,B58 B60,C,Mr,B,2,Small,1,PC,Wealthy,Wealthy Passenger,2,Adult,Mr,0,Baxter,Cherbourg,247.5208,Mr_Adult,24.0,123.7604
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.0,4,2,347082,31.275,,S,Miss,Unknown,7,Large,2,None,Low,Low-Class Passenger,7,Child,Miss,0,Andersson,Southampton,93.82499999999999,Miss_Child,6.0,4.4678571428571425
121,0,2,"Hickman, Mr. Stanley George",male,21.0,2,0,S.O.C. 14879,73.5,,S,Mr,Unknown,3,Small,1,S.O.C.,Middle,Middle-Class Passenger,5,Adult,Mr,0,Hickman,Southampton,147.0,Mr_Adult,42.0,14.7
122,0,3,"Moore, Mr. Leonard Charles",male,,0,0,A4. 54510,8.05,,S,Mr,Unknown,1,Solo,0,A4.,Low,Migrant,1,Unknown,Mr,1,Moore,Southampton,24.150000000000002,Mr_Unknown,,8.05
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C,Mr,Unknown,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mr,0,Nasser,Cherbourg,60.1416,Mr_Adult,65.0,15.0354
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,E101,S,Miss,E,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Miss,1,Webber,Southampton,26.0,Miss_Adult,65.0,13.0
125,0,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,S,Mr,D,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mr,0,White,Southampton,77.2875,Mr_Adult,54.0,38.64375
126,1,3,"Nicola-Yarred, Master. Elias",male,12.0,1,0,2651,11.2417,,C,Master,Unknown,2,Small,1,None,Low,Low-Class Passenger,2,Child,Master,0,Nicola-Yarred,Cherbourg,33.7251,Master_Child,36.0,5.62085
127,0,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,McMahon,Queenstown,23.25,Mr_Unknown,,7.75
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,,S,Mr,Unknown,1,Solo,0,C,Low,Migrant,1,Adult,Mr,1,Madsen,Southampton,21.4251,Mr_Adult,72.0,7.1417
129,1,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,Miss,E,3,Small,1,None,Low,Low-Class Passenger,2,Unknown,Miss,0,Peter,Cherbourg,67.0749,Miss_Unknown,,11.17915
130,0,3,"Ekstrom, Mr. Johan",male,45.0,0,0,347061,6.975,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Ekstrom,Southampton,20.924999999999997,Mr_Adult,135.0,6.975
131,0,3,"Drazenoic, Mr. Jozef",male,33.0,0,0,349241,7.8958,,C,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Drazenoic,Cherbourg,23.6874,Mr_Adult,99.0,7.8958
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20.0,0,0,SOTON/O.Q. 3101307,7.05,,S,Mr,Unknown,1,Solo,0,SOTON/O.Q.,Low,Migrant,1,Adult,Mr,1,Coelho,Southampton,21.15,Mr_Adult,60.0,7.05
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.0,1,0,A/5. 3337,14.5,,S,Mrs,Unknown,2,Small,1,A/5.,Low,Low-Class Passenger,1,Adult,Mrs,0,Robins,Southampton,43.5,Mrs_Adult,141.0,14.5
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.0,1,0,228414,26.0,,S,Mrs,Unknown,2,Small,1,None,Middle,Middle-Class Passenger,1,Adult,Mrs,0,Weisz,Southampton,52.0,Mrs_Adult,58.0,26.0
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25.0,0,0,C.A. 29178,13.0,,S,Mr,Unknown,1,Solo,0,C.A.,Middle,Middle-Class Passenger,1,Adult,Mr,1,Sobey,Southampton,26.0,Mr_Adult,50.0,13.0
136,0,2,"Richard, Mr. Emile",male,23.0,0,0,SC/PARIS 2133,15.0458,,C,Mr,Unknown,1,Solo,0,SC/PARIS,Middle,Middle-Class Passenger,1,Adult,Mr,1,Richard,Cherbourg,30.0916,Mr_Adult,46.0,15.0458
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,D47,S,Miss,D,3,Small,1,None,Middle,Middle-Class Passenger,1,Teen,Miss,0,Newsom,Southampton,26.2833,Miss_Teen,19.0,26.2833
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,C123,S,Mr,C,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mr,0,Futrelle,Southampton,53.1,Mr_Adult,37.0,26.55
139,0,3,"Osen, Mr. Olaf Elon",male,16.0,0,0,7534,9.2167,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,2,Teen,Mr,1,Osen,Southampton,27.6501,Mr_Teen,48.0,4.60835
140,0,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,B86,C,Mr,B,1,Solo,0,PC,Middle,Middle-Class Passenger,2,Adult,Mr,1,Giglio,Cherbourg,79.2,Mr_Adult,24.0,39.6
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C,Mrs,Unknown,3,Small,1,None,Low,Low-Class Passenger,2,Unknown,Mrs,0,Boulos,Cherbourg,45.737399999999994,Mrs_Unknown,,7.6229
142,1,3,"Nysten, Miss. Anna Sofia",female,22.0,0,0,347081,7.75,,S,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Miss,1,Nysten,Southampton,23.25,Miss_Adult,66.0,7.75
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.0,1,0,STON/O2. 3101279,15.85,,S,Mrs,Unknown,2,Small,1,STON/O2.,Low,Low-Class Passenger,2,Adult,Mrs,0,Hakkarainen,Southampton,47.55,Mrs_Adult,72.0,7.925
144,0,3,"Burke, Mr. Jeremiah",male,19.0,0,0,365222,6.75,,Q,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Teen,Mr,1,Burke,Queenstown,20.25,Mr_Teen,57.0,6.75
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.0,0,0,231945,11.5,,S,Mr,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Teen,Mr,1,Andrew,Southampton,23.0,Mr_Teen,36.0,11.5
146,0,2,"Nicholls, Mr. Joseph Charles",male,19.0,1,1,C.A. 33112,36.75,,S,Mr,Unknown,3,Small,1,C.A.,Middle,Middle-Class Passenger,2,Teen,Mr,0,Nicholls,Southampton,73.5,Mr_Teen,38.0,18.375
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0,0,350043,7.7958,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Andersson,Southampton,23.3874,Mr_Adult,81.0,7.7958
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.0,2,2,W./C. 6608,34.375,,S,Miss,Unknown,5,Large,2,W./C.,Low,Low-Class Passenger,4,Child,Miss,0,Ford,Southampton,103.125,Miss_Child,27.0,8.59375
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,F2,S,Mr,F,3,Small,1,None,Middle,Middle-Class Passenger,3,Adult,Mr,0,Navratil,Southampton,52.0,Mr_Adult,73.0,8.666666666666666
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42.0,0,0,244310,13.0,,S,Mr,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mr,1,Byles,Southampton,26.0,Mr_Adult,84.0,13.0
151,0,2,"Bateman, Rev. Robert James",male,51.0,0,0,S.O.P. 1166,12.525,,S,Mr,Unknown,1,Solo,0,S.O.P.,Middle,Middle-Class Passenger,1,Adult,Mr,1,Bateman,Southampton,25.05,Mr_Adult,102.0,12.525
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,1,0,113776,66.6,C2,S,Mrs,C,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mrs,0,Pears,Southampton,66.6,Mrs_Adult,22.0,33.3
153,0,3,"Meo, Mr. Alfonzo",male,55.5,0,0,A.5. 11206,8.05,,S,Mr,Unknown,1,Solo,0,A.5.,Low,Migrant,1,Adult,Mr,1,Meo,Southampton,24.150000000000002,Mr_Adult,166.5,8.05
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S,Mr,Unknown,3,Small,1,A/5.,Low,Low-Class Passenger,1,Adult,Mr,0,van Billiard,Southampton,43.5,Mr_Adult,121.5,14.5
155,0,3,"Olsen, Mr. Ole Martin",male,,0,0,Fa 265302,7.3125,,S,Mr,Unknown,1,Solo,0,Fa,Low,Migrant,1,Unknown,Mr,1,Olsen,Southampton,21.9375,Mr_Unknown,,7.3125
156,0,1,"Williams, Mr. Charles Duane",male,51.0,0,1,PC 17597,61.3792,,C,Mr,Unknown,2,Small,1,PC,Middle,Middle-Class Passenger,1,Adult,Mr,0,Williams,Cherbourg,61.3792,Mr_Adult,51.0,61.3792
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.0,0,0,35851,7.7333,,Q,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Teen,Miss,1,Gilnagh,Queenstown,23.1999,Miss_Teen,48.0,7.7333
158,0,3,"Corn, Mr. Harry",male,30.0,0,0,SOTON/OQ 392090,8.05,,S,Mr,Unknown,1,Solo,0,SOTON/OQ,Low,Migrant,1,Adult,Mr,1,Corn,Southampton,24.150000000000002,Mr_Adult,90.0,8.05
159,0,3,"Smiljanic, Mr. Mile",male,,0,0,315037,8.6625,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Smiljanic,Southampton,25.987499999999997,Mr_Unknown,,8.6625
160,0,3,"Sage, Master. Thomas Henry",male,,8,2,CA. 2343,69.55,,S,Master,Unknown,11,Large,2,CA.,Low,Low-Class Passenger,7,Unknown,Master,0,Sage,Southampton,208.64999999999998,Master_Unknown,,9.935714285714285
161,0,3,"Cribb, Mr. John Hatfield",male,44.0,0,1,371362,16.1,,S,Mr,Unknown,2,Small,1,None,Low,Low-Class Passenger,1,Adult,Mr,0,Cribb,Southampton,48.300000000000004,Mr_Adult,132.0,16.1
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,,S,Mrs,Unknown,1,Solo,0,C.A.,Middle,Middle-Class Passenger,1,Adult,Mrs,1,Watt,Southampton,31.5,Mrs_Adult,80.0,15.75
163,0,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Bengtsson,Southampton,23.325000000000003,Mr_Adult,78.0,7.775
164,0,3,"Calic, Mr. Jovo",male,17.0,0,0,315093,8.6625,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Teen,Mr,1,Calic,Southampton,25.987499999999997,Mr_Teen,51.0,8.6625
165,0,3,"Panula, Master. Eino Viljami",male,1.0,4,1,3101295,39.6875,,S,Master,Unknown,6,Large,2,None,Low,Low-Class Passenger,6,Child,Master,0,Panula,Southampton,119.0625,Master_Child,3.0,6.614583333333333
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,,S,Master,Unknown,3,Small,1,None,Low,Low-Class Passenger,3,Child,Master,0,Goldsmith,Southampton,61.574999999999996,Master_Child,27.0,6.841666666666666
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,55.0,E33,S,Mrs,E,2,Small,1,None,Middle,Middle-Class Passenger,2,Unknown,Mrs,0,Chibnall,Southampton,55.0,Mrs_Unknown,,27.5
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.0,1,4,347088,27.9,,S,Mrs,Unknown,6,Large,2,None,Low,Low-Class Passenger,6,Adult,Mrs,0,Skoog,Southampton,83.69999999999999,Mrs_Adult,135.0,4.6499999999999995
169,0,1,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,S,Mr,Unknown,1,Solo,0,PC,Middle,Middle-Class Passenger,1,Unknown,Mr,1,Baumann,Southampton,25.925,Mr_Unknown,,25.925
170,0,3,"Ling, Mr. Lee",male,28.0,0,0,1601,56.4958,,S,Mr,Unknown,1,Solo,0,None,Low,Low-Class Passenger,7,Adult,Mr,1,Ling,Southampton,169.4874,Mr_Adult,84.0,8.070828571428573
171,0,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,B19,S,Mr,B,1,Solo,0,None,Middle,Middle-Class Passenger,1,Senior,Mr,1,Van der hoef,Southampton,33.5,Mr_Senior,61.0,33.5
172,0,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,,Q,Master,Unknown,6,Large,2,None,Low,Low-Class Passenger,5,Child,Master,0,Rice,Queenstown,87.375,Master_Child,12.0,5.825
173,1,3,"Johnson, Miss. Eleanor Ileen",female,1.0,1,1,347742,11.1333,,S,Miss,Unknown,3,Small,1,None,Low,Low-Class Passenger,3,Child,Miss,0,Johnson,Southampton,33.3999,Miss_Child,3.0,3.7111
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21.0,0,0,STON/O 2. 3101280,7.925,,S,Mr,Unknown,1,Solo,0,STON/O,Low,Migrant,1,Adult,Mr,1,Sivola,Southampton,23.775,Mr_Adult,63.0,7.925
175,0,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764,30.6958,A7,C,Mr,A,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mr,1,Smith,Cherbourg,30.6958,Mr_Adult,56.0,30.6958
176,0,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,,S,Mr,Unknown,3,Small,1,None,Low,Migrant,1,Teen,Mr,0,Klasen,Southampton,23.5626,Mr_Teen,54.0,7.8542
177,0,3,"Lefebre, Master. Henry Forbes",male,,3,1,4133,25.4667,,S,Master,Unknown,5,Large,2,None,Low,Low-Class Passenger,4,Unknown,Master,0,Lefebre,Southampton,76.4001,Master_Unknown,,6.366675
178,0,1,"Isham, Miss. Ann Elizabeth",female,50.0,0,0,PC 17595,28.7125,C49,C,Miss,C,1,Solo,0,PC,Middle,Middle-Class Passenger,1,Adult,Miss,1,Isham,Cherbourg,28.7125,Miss_Adult,50.0,28.7125
179,0,2,"Hale, Mr. Reginald",male,30.0,0,0,250653,13.0,,S,Mr,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mr,1,Hale,Southampton,26.0,Mr_Adult,60.0,13.0
180,0,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,,S,Mr,Unknown,1,Solo,0,LINE,Employee,Migrant,4,Adult,Mr,1,Leonard,Southampton,0.0,Mr_Adult,108.0,0.0
181,0,3,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,,S,Miss,Unknown,11,Large,2,CA.,Low,Low-Class Passenger,7,Unknown,Miss,0,Sage,Southampton,208.64999999999998,Miss_Unknown,,9.935714285714285
182,0,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C,Mr,Unknown,1,Solo,0,SC/PARIS,Middle,Middle-Class Passenger,1,Unknown,Mr,1,Pernot,Cherbourg,30.1,Mr_Unknown,,15.05
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077,31.3875,,S,Master,Unknown,7,Large,2,None,Low,Low-Class Passenger,4,Child,Master,0,Asplund,Southampton,94.1625,Master_Child,27.0,7.846875
184,1,2,"Becker, Master. Richard F",male,1.0,2,1,230136,39.0,F4,S,Master,F,4,Small,1,None,Middle,Middle-Class Passenger,2,Child,Master,0,Becker,Southampton,78.0,Master_Child,2.0,19.5
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,0,2,315153,22.025,,S,Miss,Unknown,3,Small,1,None,Low,Low-Class Passenger,1,Child,Miss,0,Kink-Heilmann,Southampton,66.07499999999999,Miss_Child,12.0,22.025
186,0,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50.0,A32,S,Mr,A,1,Solo,0,None,Middle,Middle-Class Passenger,1,Unknown,Mr,1,Rood,Southampton,50.0,Mr_Unknown,,50.0
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,1,0,370365,15.5,,Q,Mrs,Unknown,2,Small,1,None,Low,Low-Class Passenger,2,Unknown,Mrs,0,O'Brien,Queenstown,46.5,Mrs_Unknown,,7.75
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,0,0,111428,26.55,,S,Mr,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mr,1,Romaine,Southampton,26.55,Mr_Adult,45.0,26.55
189,0,3,"Bourke, Mr. John",male,40.0,1,1,364849,15.5,,Q,Mr,Unknown,3,Small,1,None,Low,Low-Class Passenger,2,Adult,Mr,0,Bourke,Queenstown,46.5,Mr_Adult,120.0,7.75
190,0,3,"Turcin, Mr. Stjepan",male,36.0,0,0,349247,7.8958,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Turcin,Southampton,23.6874,Mr_Adult,108.0,7.8958
191,1,2,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604,13.0,,S,Mrs,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mrs,1,Pinsky,Southampton,26.0,Mrs_Adult,64.0,13.0
192,0,2,"Carbines, Mr. William",male,19.0,0,0,28424,13.0,,S,Mr,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Teen,Mr,1,Carbines,Southampton,26.0,Mr_Teen,38.0,13.0
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1,0,350046,7.8542,,S,Miss,Unknown,2,Small,1,None,Low,Migrant,1,Teen,Miss,0,Andersen-Jensen,Southampton,23.5626,Miss_Teen,57.0,7.8542
194,1,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F2,S,Master,F,3,Small,1,None,Middle,Middle-Class Passenger,3,Child,Master,0,Navratil,Southampton,52.0,Master_Child,6.0,8.666666666666666
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0,0,PC 17610,27.7208,B4,C,Mrs,B,1,Solo,0,PC,Middle,Middle-Class Passenger,1,Adult,Mrs,1,Brown,Cherbourg,27.7208,Mrs_Adult,44.0,27.7208
196,1,1,"Lurette, Miss. Elise",female,58.0,0,0,PC 17569,146.5208,B80,C,Miss,B,1,Solo,0,PC,Wealthy,Wealthy Passenger,2,Adult,Miss,1,Lurette,Cherbourg,146.5208,Miss_Adult,58.0,73.2604
197,0,3,"Mernagh, Mr. Robert",male,,0,0,368703,7.75,,Q,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Mernagh,Queenstown,23.25,Mr_Unknown,,7.75
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,0,1,4579,8.4042,,S,Mr,Unknown,2,Small,1,None,Low,Migrant,1,Adult,Mr,0,Olsen,Southampton,25.2126,Mr_Adult,126.0,8.4042
199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,,0,0,370370,7.75,,Q,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Miss,1,Madigan,Queenstown,23.25,Miss_Unknown,,7.75
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,0,0,248747,13.0,,S,Mrs,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mrs,1,Yrois,Southampton,26.0,Mrs_Adult,48.0,13.0
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,345770,9.5,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Vande Walle,Southampton,28.5,Mr_Adult,84.0,9.5
202,0,3,"Sage, Mr. Frederick",male,,8,2,CA. 2343,69.55,,S,Mr,Unknown,11,Large,2,CA.,Low,Low-Class Passenger,7,Unknown,Mr,0,Sage,Southampton,208.64999999999998,Mr_Unknown,,9.935714285714285
203,0,3,"Johanson, Mr. Jakob Alfred",male,34.0,0,0,3101264,6.4958,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Johanson,Southampton,19.4874,Mr_Adult,102.0,6.4958
204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Youseff,Cherbourg,21.674999999999997,Mr_Adult,136.5,7.225
205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,,S,Mr,Unknown,1,Solo,0,A/5,Employee,Migrant,1,Teen,Mr,1,Cohen,Southampton,24.150000000000002,Mr_Teen,54.0,8.05
206,0,3,"Strom, Miss. Telma Matilda",female,2.0,0,1,347054,10.4625,G6,S,Miss,G,2,Small,1,None,Low,Low-Class Passenger,2,Child,Miss,0,Strom,Southampton,31.387500000000003,Miss_Child,6.0,5.23125
207,0,3,"Backstrom, Mr. Karl Alfred",male,32.0,1,0,3101278,15.85,,S,Mr,Unknown,2,Small,1,None,Low,Low-Class Passenger,2,Adult,Mr,0,Backstrom,Southampton,47.55,Mr_Adult,96.0,7.925
208,1,3,"Albimona, Mr. Nassef Cassem",male,26.0,0,0,2699,18.7875,,C,Mr,Unknown,1,Solo,0,None,Low,Low-Class Passenger,2,Adult,Mr,1,Albimona,Cherbourg,56.362500000000004,Mr_Adult,78.0,9.39375
209,1,3,"Carr, Miss. Helen ""Ellen""",female,16.0,0,0,367231,7.75,,Q,Miss,Unknown,1,Solo,0,None,Low,Migrant,1,Teen,Miss,1,Carr,Queenstown,23.25,Miss_Teen,48.0,7.75
210,1,1,"Blank, Mr. Henry",male,40.0,0,0,112277,31.0,A31,C,Mr,A,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mr,1,Blank,Cherbourg,31.0,Mr_Adult,40.0,31.0
211,0,3,"Ali, Mr. Ahmed",male,24.0,0,0,SOTON/O.Q. 3101311,7.05,,S,Mr,Unknown,1,Solo,0,SOTON/O.Q.,Low,Migrant,1,Adult,Mr,1,Ali,Southampton,21.15,Mr_Adult,72.0,7.05
212,1,2,"Cameron, Miss. Clear Annie",female,35.0,0,0,F.C.C. 13528,21.0,,S,Miss,Unknown,1,Solo,0,F.C.C.,Middle,Middle-Class Passenger,1,Adult,Miss,1,Cameron,Southampton,42.0,Miss_Adult,70.0,21.0
213,0,3,"Perkin, Mr. John Henry",male,22.0,0,0,A/5 21174,7.25,,S,Mr,Unknown,1,Solo,0,A/5,Employee,Migrant,1,Adult,Mr,1,Perkin,Southampton,21.75,Mr_Adult,66.0,7.25
214,0,2,"Givard, Mr. Hans Kristensen",male,30.0,0,0,250646,13.0,,S,Mr,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mr,1,Givard,Southampton,26.0,Mr_Adult,60.0,13.0
215,0,3,"Kiernan, Mr. Philip",male,,1,0,367229,7.75,,Q,Mr,Unknown,2,Small,1,None,Low,Migrant,1,Unknown,Mr,0,Kiernan,Queenstown,23.25,Mr_Unknown,,7.75
216,1,1,"Newell, Miss. Madeleine",female,31.0,1,0,35273,113.275,D36,C,Miss,D,2,Small,1,None,Wealthy,Wealthy Passenger,3,Adult,Miss,0,Newell,Cherbourg,113.275,Miss_Adult,31.0,37.75833333333333
217,1,3,"Honkanen, Miss. Eliina",female,27.0,0,0,STON/O2. 3101283,7.925,,S,Miss,Unknown,1,Solo,0,STON/O2.,Low,Migrant,1,Adult,Miss,1,Honkanen,Southampton,23.775,Miss_Adult,81.0,7.925
218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,42.0,1,0,243847,27.0,,S,Mr,Unknown,2,Small,1,None,Middle,Middle-Class Passenger,2,Adult,Mr,0,Jacobsohn,Southampton,54.0,Mr_Adult,84.0,13.5
219,1,1,"Bazzani, Miss. Albina",female,32.0,0,0,11813,76.2917,D15,C,Miss,D,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Miss,1,Bazzani,Cherbourg,76.2917,Miss_Adult,32.0,76.2917
220,0,2,"Harris, Mr. Walter",male,30.0,0,0,W/C 14208,10.5,,S,Mr,Unknown,1,Solo,0,W/C,Middle,Middle-Class Passenger,1,Adult,Mr,1,Harris,Southampton,21.0,Mr_Adult,60.0,10.5
221,1,3,"Sunderland, Mr. Victor Francis",male,16.0,0,0,SOTON/OQ 392089,8.05,,S,Mr,Unknown,1,Solo,0,SOTON/OQ,Low,Migrant,1,Teen,Mr,1,Sunderland,Southampton,24.150000000000002,Mr_Teen,48.0,8.05
222,0,2,"Bracken, Mr. James H",male,27.0,0,0,220367,13.0,,S,Mr,Unknown,1,Solo,0,None,Middle,Middle-Class Passenger,1,Adult,Mr,1,Bracken,Southampton,26.0,Mr_Adult,54.0,13.0
223,0,3,"Green, Mr. George Henry",male,51.0,0,0,21440,8.05,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Adult,Mr,1,Green,Southampton,24.150000000000002,Mr_Adult,153.0,8.05
224,0,3,"Nenkoff, Mr. Christo",male,,0,0,349234,7.8958,,S,Mr,Unknown,1,Solo,0,None,Low,Migrant,1,Unknown,Mr,1,Nenkoff,Southampton,23.6874,Mr_Unknown,,7.8958
